oil_name,temperature_min,temperature_max,wavelength_min,wavelength_max,density_min,density_max,adulteration_index_max,common_adulterants,notes
Mustard Oil,22,35,180,320,0.910,0.925,0.15,"Argemone oil | Mineral oil | Kesari dal oil","Primary test in North India. Argemone oil is most dangerous adulterant — causes epidemic dropsy."
Olive Oil,20,30,290,480,0.910,0.916,0.12,"Sunflower oil | Soybean oil | Pomace oil","Extra virgin shows higher wavelength absorption. Adulteration with seed oils very common in India."
Coconut Oil,25,38,80,160,0.908,0.921,0.10,"Palm kernel oil | Vanaspati","Solid below 24°C. If liquid at room temp it may be adulterated with liquid oils."
Sunflower Oil,20,35,150,280,0.918,0.923,0.12,"Mineral oil | Rice bran oil","Very light absorption. Any colour shift indicates dye or cheap oil mixing."
Groundnut Oil,22,35,200,350,0.912,0.920,0.13,"Palm oil | Mineral oil","High smoke point. Peanut allergies make adulteration detection critical."
Palm Oil,28,40,340,560,0.891,0.899,0.15,"Palm kernel oil | Vanaspati | Mineral oil","Naturally orange-red due to carotenoids. Bleached palm oil is a common adulterant base."
Sesame Oil,20,35,260,420,0.915,0.924,0.12,"Rice bran oil | Groundnut oil | Mineral oil","Bauer-Villavecchia test specific to sesame. Strong aroma if pure."
Rice Bran Oil,22,35,170,300,0.916,0.921,0.12,"Palmolein | Mineral oil","High oryzanol — unique biomarker. Used to detect adulteration via chromatography."
Soybean Oil,20,35,140,260,0.919,0.925,0.12,"Palm oil | Mineral oil | Corn oil","Bland taste. Extremely common base for blended oil adulteration."
Canola Oil,20,35,130,250,0.914,0.920,0.12,"Soybean oil | Palm oil","Very low erucic acid — adulteration with high-erucic oils is a concern."
Corn Oil,20,35,160,290,0.917,0.925,0.12,"Soybean oil | Mineral oil","Golden yellow. Adulteration increases β-carotene levels — detectable by light sensor."
Cottonseed Oil,22,36,180,310,0.918,0.926,0.13,"Palm oil | Mineral oil","Contains gossypol — toxic if unrefined. Adulteration with heavier oils detectable by density."
Safflower Oil,20,35,190,330,0.922,0.927,0.12,"Sunflower oil | Soybean oil","Highest linoleic acid of all oils — adulteration shifts fatty acid profile."
Flaxseed Oil,15,28,350,520,0.926,0.931,0.13,"Soybean oil | Mineral oil","Highly prone to oxidation. Dark amber — very high absorption. Keep refrigerated."
Almond Oil,18,32,120,220,0.910,0.915,0.10,"Apricot kernel oil | Mineral oil","Pale golden. Premium oil — frequently adulterated with cheaper kernel oils."
Castor Oil,20,35,90,170,0.952,0.965,0.10,"Mineral oil | Linseed oil","Very high density — easiest to identify pure by viscosity. Used in industrial applications."
Avocado Oil,20,35,310,500,0.910,0.914,0.11,"Soybean oil | Sunflower oil","Deep green due to chlorophyll. Colour fade indicates adulteration or refining."
Walnut Oil,18,30,240,390,0.920,0.926,0.12,"Hazelnut oil | Mineral oil","Rich omega-3 — adulteration with cheaper oils reduces nutritional value significantly."
Grapeseed Oil,20,35,155,270,0.919,0.926,0.12,"Soybean oil | Sunflower oil","Light greenish — extracted from wine production byproduct. Mild flavour."
Vegetable Oil Blend,20,38,150,290,0.915,0.924,0.15,"Mineral oil | Vanaspati | Palm olein","Widest acceptable range due to blend variability. Adulteration with non-edible oils is highest risk."
